time(millisecond),datetime(utc),latitude,longitude
621500,2022-05-13 16:38:33,-34.4373635095535,-59.0519197472695
621600,2022-05-13 16:38:33,-34.4373635000956,-59.0519197577816
621700,2022-05-13 16:38:33,-34.4373634992389,-59.0519197761881
621800,2022-05-13 16:38:33,-34.4373634971486,-59.0519197882998
621900,2022-05-13 16:38:33,-34.4373634850178,-59.0519198009725
622000,2022-05-13 16:38:33,-34.4373634640116,-59.0519197982926
622100,2022-05-13 16:38:34,-34.4373634331364,-59.0519198060416
622200,2022-05-13 16:38:34,-34.4373633904044,-59.0519197994352
622300,2022-05-13 16:38:34,-34.4373633494887,-59.0519197701842
622400,2022-05-13 16:38:34,-34.4373633058658,-59.0519197317507
622500,2022-05-13 16:38:34,-34.4373632751961,-59.0519196829298
622600,2022-05-13 16:38:34,-34.4373632539501,-59.051919631886
622700,2022-05-13 16:38:34,-34.4373632379813,-59.0519195922268
622800,2022-05-13 16:38:34,-34.437363223349,-59.0519195550606
622900,2022-05-13 16:38:34,-34.4373632173179,-59.0519195277417
623000,2022-05-13 16:38:34,-34.4373632239658,-59.05191951322
623100,2022-05-13 16:38:35,-34.4373632091279,-59.0519195042038
623200,2022-05-13 16:38:35,-34.4373631913086,-59.0519195078601
623300,2022-05-13 16:38:35,-34.4373631622838,-59.0519195292998
623400,2022-05-13 16:38:35,-34.4373631343556,-59.051919591375
623500,2022-05-13 16:38:35,-34.4373631024865,-59.0519196432706
623600,2022-05-13 16:38:35,-34.4373630753464,-59.0519197170421
623700,2022-05-13 16:38:35,-34.437363028194,-59.051919837557
623800,2022-05-13 16:38:35,-34.4373629927268,-59.0519199492634
623900,2022-05-13 16:38:35,-34.4373629569855,-59.0519200638783
624000,2022-05-13 16:38:35,-34.4373629143564,-59.0519201569703
624100,2022-05-13 16:38:36,-34.437362864531,-59.0519202322584
624200,2022-05-13 16:38:36,-34.4373628078178,-59.0519202917576
624300,2022-05-13 16:38:36,-34.4373627485346,-59.0519203434246
624400,2022-05-13 16:38:36,-34.4373626889086,-59.0519203860131
624500,2022-05-13 16:38:36,-34.4373626649555,-59.0519204266279
624600,2022-05-13 16:38:36,-34.4373626728028,-59.0519204624022
624700,2022-05-13 16:38:36,-34.4373627156375,-59.0519205242074
624800,2022-05-13 16:38:36,-34.4373627452449,-59.0519206208312
624900,2022-05-13 16:38:36,-34.4373627761544,-59.051920728715
625000,2022-05-13 16:38:36,-34.4373627974347,-59.0519208329217
625100,2022-05-13 16:38:37,-34.4373628232041,-59.0519209346146
625200,2022-05-13 16:38:37,-34.4373628239237,-59.0519209975624
625300,2022-05-13 16:38:37,-34.4373628020609,-59.0519210452614
625400,2022-05-13 16:38:37,-34.4373627556623,-59.0519210827392
625500,2022-05-13 16:38:37,-34.4373626823635,-59.0519210908622
625600,2022-05-13 16:38:37,-34.4373626239369,-59.0519210982165
625700,2022-05-13 16:38:37,-34.4373625839464,-59.051921115148
625800,2022-05-13 16:38:37,-34.4373625532768,-59.051921118929
625900,2022-05-13 16:38:37,-34.4373625370681,-59.051921120591
626000,2022-05-13 16:38:37,-34.43736252528,-59.0519211217752
626100,2022-05-13 16:38:37,-34.4373625196601,-59.0519211136522
626200,2022-05-13 16:38:38,-34.4373625380961,-59.0519211072328
626300,2022-05-13 16:38:38,-34.4373625319622,-59.0519210825523
626400,2022-05-13 16:38:38,-34.437362527336,-59.0519210490217
626500,2022-05-13 16:38:38,-34.4373625447784,-59.0519210007617
626600,2022-05-13 16:38:38,-34.4373625475198,-59.0519209569475
626700,2022-05-13 16:38:38,-34.4373625438188,-59.0519209152732
626800,2022-05-13 16:38:38,-34.4373625419684,-59.0519208757178
626900,2022-05-13 16:38:38,-34.4373625469372,-59.0519208115236
627000,2022-05-13 16:38:38,-34.4373625523858,-59.0519207639699
627100,2022-05-13 16:38:39,-34.4373625620493,-59.0519207190963
627200,2022-05-13 16:38:39,-34.4373625788063,-59.0519206656633
627300,2022-05-13 16:38:39,-34.4373625896006,-59.0519206169255
627400,2022-05-13 16:38:39,-34.4373626031021,-59.0519205656532
627500,2022-05-13 16:38:39,-34.4373626112236,-59.0519205189513
627600,2022-05-13 16:38:39,-34.4373626136566,-59.0519204522433
627700,2022-05-13 16:38:39,-34.4373626356908,-59.0519203946139
627800,2022-05-13 16:38:39,-34.4373626580334,-59.0519203455852
627900,2022-05-13 16:38:39,-34.4373626877093,-59.0519202795627
628000,2022-05-13 16:38:39,-34.4373627182419,-59.0519202375768
